PointID,N,E,Z,Code,Description
1001,1000.000,1000.000,150.000,BASE,Базовая точка раскопа
1002,1010.000,1000.000,150.000,BASE,
1003,1010.000,1010.000,150.000,BASE,
1004,1000.000,1010.000,150.000,BASE,
1005,1005.000,1005.000,150.008,BASE,Центр раскопа
2101,1002.200,1002.200,150.000,STAIN_01,Раскоп 1 — верхний горизонт (квадрат)
2102,1002.200,1006.400,150.000,STAIN_01,
2103,1006.400,1006.400,150.000,STAIN_01,
2104,1006.400,1002.200,150.000,STAIN_01,
2201,1007.000,1007.000,150.000,STAIN_02,Раскоп 2 — верхний горизонт (квадрат)
2202,1007.000,1009.000,150.000,STAIN_02,
2203,1009.000,1009.000,150.000,STAIN_02,
2204,1009.000,1007.000,150.000,STAIN_02,
3101,1003.100,1003.100,149.150,STAIN_11,Раскоп 1 — этап 2
3102,1003.100,1005.500,149.153,STAIN_11,
3103,1005.500,1005.500,149.149,STAIN_11,
3104,1005.500,1003.100,149.147,STAIN_11,
3201,1007.400,1007.400,149.120,STAIN_21,Раскоп 2 — этап 2
3202,1007.400,1008.600,149.123,STAIN_21,
3203,1008.600,1008.600,149.118,STAIN_21,
3204,1008.600,1007.400,149.116,STAIN_21,
4101,1003.500,1003.500,148.300,STAIN_12,Раскоп 1 — дно (этап 3)
4102,1003.500,1005.100,148.303,STAIN_12,
4103,1005.100,1005.100,148.299,STAIN_12,
4104,1005.100,1003.500,148.297,STAIN_12,
4201,1007.700,1007.700,148.250,STAIN_22,Раскоп 2 — дно (этап 3)
4202,1007.700,1008.300,148.253,STAIN_22,
4203,1008.300,1008.300,148.248,STAIN_22,
4204,1008.300,1007.700,148.246,STAIN_22,
6001,1004.500,1003.800,148.320,FIND_CERAMIC,Фрагмент керамики
6002,1005.000,1003.200,148.310,FIND_BONE,Костный останок
6003,1007.900,1007.900,148.255,FIND_FLINT,Кремневый отщеп

